.pl 16959
CisloVydejky;DatumVydeje;CisloOdberatele;NazevOdberatele;Celkem0;Celkem5;Celkem23;Zisk;NahradniPlneni;Prebirajici;Upozorneni;Obsluha;CisloObjednavkyD;CisloFaktury;KodSumFa;Vybrane;Rozvoz;FormaUhrady
00027$;737794$;03913$;Krajsk· nemocnice Liberec   2233$;0$;0$;549$;111$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00336$;nem$;0$; $; 
00028$;737794$;03895$;Krajsk· nemocnice Liberec   2251$;0$;0$;301$;106$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00029$;737794$;03915$;Krajsk· nemocnice Liberec   2262$;0$;0$;2212$;595$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00030$;737794$;03914$;Krajsk· nemocnice Liberec   2242$;0$;0$;431$;140$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00336$;nem$;0$; $; 
00031$;737794$;03916$;Krajsk· nemocnice Liberec   2271$;0$;0$;2175$;647$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00032$;737794$;03917$;Krajsk· nemocnice Liberec   2272$;0$;0$;203$;71$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00033$;737794$;03918$;Krajsk· nemocnice Liberec   2274$;0$;0$;504$;173$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00034$;737794$;03930$;Krajsk· nemocnice Liberec   2275$;0$;0$;260$;89$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00035$;737794$;03924$;Krajsk· nemocnice Liberec   2276$;0$;0$;1017$;236$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00036$;737794$;03919$;Krajsk· nemocnice Liberec   2312$;0$;0$;206$;64$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00037$;737794$;03921$;Krajsk· nemocnice Liberec   2342$;0$;0$;936$;343$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00038$;737794$;03922$;Krajsk· nemocnice Liberec   2351$;0$;0$;326$;97$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00039$;737794$;03758$;Krajsk· nemocnice Liberec   2352$;0$;0$;149$;34$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00040$;737794$;05664$;Krajsk· nemocnice Liberec   2353$;0$;0$;1602$;558$;N$;Mejsnarova$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00041$;737794$;03923$;Krajsk· nemocnice Liberec   2362P7A$;0$;0$;254$;108$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00042$;737794$;03925$;Krajsk· nemocnice Liberec   2412$;0$;0$;667$;233$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00043$;737794$;03926$;Krajsk· nemocnice Liberec   2422$;0$;0$;1234$;453$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00044$;737794$;03929$;Krajsk· nemocnice Liberec   2432$;0$;0$;2068$;603$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00045$;737794$;03928$;Krajsk· nemocnice Liberec   2443$;0$;0$;133$;32$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00046$;737794$;03931$;Krajsk· nemocnice Liberec   2454$;0$;0$;184$;53$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00047$;737794$;03933$;Krajsk· nemocnice Liberec   2511RTG$;0$;0$;272$;67$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00048$;737794$;03934$;Krajsk· nemocnice Liberec   2521$;0$;0$;423$;134$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00049$;737794$;03935$;Krajsk· nemocnice Liberec   2542$;0$;0$;2322$;511$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00050$;737794$;03937$;Krajsk· nemocnice Liberec   2612$;0$;0$;271$;76$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00051$;737794$;03939$;Krajsk· nemocnice Liberec   2633$;0$;0$;1002$;324$;N$;Mejsnarov·$; $;éateËkov· MarkÈta$; $;00336$;nem$;0$; $; 
00052$;737794$;03940$;Krajsk· nemocnice Liberec   2636$;0$;0$;380$;141$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00053$;737794$;03941$;Krajsk· nemocnice Liberec   2642$;0$;0$;141$;43$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00054$;737794$;03942$;Krajsk· nemocnice Liberec   2711$;0$;0$;174$;51$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00055$;737794$;03944$;Krajsk· nemocnice Liberec   2731$;0$;0$;270$;75$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00056$;737794$;03945$;Krajsk· nemocnice Liberec   2733$;0$;0$;276$;110$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00057$;737794$;03946$;Krajsk· nemocnice Liberec   2741$;0$;0$;1914$;745$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00058$;737794$;03948$;Krajsk· nemocnice Liberec   2761$;0$;0$;321$;130$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00059$;737794$;00955$;Zä OblaËn· Liberec$;0$;0$;10160$;2853$;N$;Petr Pleötil$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;77895$;00472$;dr$;0$;R$; 
00060$;737794$;03949$;Krajsk· nemocnice Liberec   2811$;0$;0$;4452$;1363$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00061$;737794$;05464$;Krajsk· nemocnice Liberec 3214 TURN$;0$;0$;49$;11$;N$;Hanuöov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00062$;737794$;05443$;Krajsk· nemocnice Liberec 3262 TURN$;0$;0$;136$;38$;N$;Hanuöov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00063$;737794$;05454$;Krajsk· nemocnice Liberec 3271 TURN$;0$;0$;233$;100$;N$;Hanuöov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00064$;737794$;05444$;Krajsk· nemocnice Liberec 3342 TURN$;0$;0$;122$;39$;N$;Hanuöov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00065$;737794$;05453$;Krajsk· nemocnice Liberec 3412 TURN$;0$;0$;309$;110$;N$;Hanuöov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00066$;737794$;05458$;Krajsk· nemocnice Liberec 3511 TURN$;0$;0$;75$;20$;N$;Hanuöov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00067$;737794$;05445$;Krajsk· nemocnice Liberec 3741 TURN$;0$;0$;787$;239$;N$;Hanuöov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00068$;737794$;05460$;Krajsk· nemocnice Liberec 3811 TURN$;0$;0$;265$;82$;N$;Hanuöov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00069$;737794$;05451$;Krajsk· nemocnice Liberec   3832$;0$;0$;461$;143$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00070$;737794$;07812$;Krajsk· nemocnice Liberec  4212 FR›$;0$;0$;286$;74$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00071$;737794$;11629$;Krajsk· nemocnice Liberec  4411 FR›$;0$;0$;203$;69$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00072$;737794$;08096$;Krajsk· nemocnice Liberec  4812 FR›$;0$;0$;129$;46$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00073$;737794$;09276$;Krajsk· nemocnice Liberec  4813 FR›$;0$;0$;132$;44$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00074$;737794$;03956$;Krajsk· nemocnice Liberec   6071$;0$;0$;135$;45$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00075$;737794$;03759$;Krajsk· nemocnice Liberec  8253 FR›$;0$;0$;144$;38$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00076$;737794$;03964$;Krajsk· nemocnice Liberec   8414$;0$;0$;119$;30$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00077$;737794$;02963$;Krajsk· nemocnice Liberec   8435$;0$;0$;88$;21$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00078$;737794$;03966$;Krajsk· nemocnice Liberec   8451$;0$;0$;1443$;367$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00079$;737794$;09421$;Krajsk· nemocnice Liberec   8424$;0$;0$;916$;344$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00080$;737794$;05455$;Krajsk· nemocnice Liberec 8712 TURN$;0$;0$;1134$;303$;N$;Hanuöov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00336$;nem$;0$;R$; 
00081$;737795$;00113$;DopravnÌ podnik mÏst Liberce a$;0$;0$;79$;51$;N$;Tomis,B¯inËil$;VLASTNÕ ODVOZ$;éateËkov· MarkÈta$; $;00925$;DPL$;0$; $; 
00082$;737795$;00372$;BMTO GROUP a.s.$;0$;0$;2146$;698$;N$;BartoÚ, Buöek$;VLASTNÕ ODVOZ //vyzvednou dnes kolem obÏda$;éateËkov· MarkÈta$;77910$;00472$;dr$;0$; $; 
00083$;737795$;02082$;CENTRUM BABYLON, a.s.$;0$;0$;2417$;768$;N$;S˝kora$;volat p¯edem a domluvit z·voz + zboûÌ z prosince$;éateËkov· MarkÈta$;email$;00924$;bab$;0$;R$; 
00084$;737796$;00372$;BMTO GROUP a.s.$;0$;0$;4200$;1217$;N$;Buöek ml.$;VLASTNÕ ODVOZ  aû bude p¯ipravenÈ zavol·me pro vyzvednutÌ$;Labaj Martin$;email$;00472$;dr$;0$; $; 
00085$;737796$;00113$;DopravnÌ podnik mÏst Liberce a$;0$;0$;3542$;847$;N$;Tomis,B¯inËil$;VLASTNÕ ODVOZ //vyzvedne ve Ëtvrtek r·no$;éateËkov· MarkÈta$;77948$;00925$;DPL$;0$; $; 
00086$;737796$;00530$;V⁄TS,a.s.$;0$;0$;3833$;1051$;N$;Hor·Ëek,Laimarinov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;77951$;00472$;dr$;0$;R$; 
00087$;737796$;02117$;OSAPO, s.r.o.$;0$;0$;1695$;391$;N$;Drbohlav$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$;210014$;00932$; $;0$; $; 
00088$;737797$;02728$;WMA - Glass s.r.o.$;0$;0$;2712$;719$;N$;Broz$;VLASTNÕ ODVOZ$;Chocholouökov· Ivana$;os$;00472$;dr$;0$; $; 
00089$;737797$;00113$;DopravnÌ podnik mÏst Liberce a$;0$;0$;4689$;1065$;N$;Tomis,B¯inËil$;VLASTNÕ ODVOZ //vyzvedne v p·tek r·no$;éateËkov· MarkÈta$;77983$;00925$;DPL$;0$; $; 
00090$;737797$;08008$;Model·rna LIAZ spol.s r.o.$;0$;0$;1001$;321$;A$;Ji¯Ì Matouö$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;77821$;00927$; $;0$;R$; 
00091$;737797$;00054$;AUTOSPORT KU»ERA s.r.o.$;0$;0$;1258$;345$;N$;VojtÏch Bedn·¯$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78016$;00472$;dr$;0$;R$; 
00092$;737798$;01909$;Frydlanske strojirny Rasl a Syn a.s$;0$;0$;5537$;1524$;N$;Bajan$;VLASTNÕ ODVOZ //vyzvednou zachvilu z Lipy$;éateËkov· MarkÈta$;78006$;00472$;dr$;0$; $; 
00093$;737798$;00433$;Tepl·rna Liberec, a.s.$;0$;0$;4872$;1314$;N$;Iva Lieserov·$;rozvoz + dod·k$;éateËkov· MarkÈta$;tel.$;00472$;dr$;0$;R$; 
00094$;737798$;00113$;DopravnÌ podnik mÏst Liberce a$;0$;0$;1753$;356$;N$;Tomis,B¯inËil$;VLASTNÕ ODVOZ //vyzvedne v pondÏlÌ r·no$;éateËkov· MarkÈta$;78019$;00925$;DPL$;0$; $; 
00095$;737798$;08959$;Zä TGM a Mä Mlad· Boleslav$;0$;0$;1739$;595$;N$;Svobodov·$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78035$;00472$;dr$;0$;R$; 
00096$;737798$;08959$;Zä TGM a Mä Mlad· Boleslav$;0$;0$;1033$;287$;N$;Svobodov·$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78033$;00472$;dr$;0$;R$; 
00097$;737798$;00247$;MÏsto Hr·dek nad Nisou$;0$;0$;16576$;5226$;N$;Krousk·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;78029$;00472$;dr$;0$;R$; 
00098$;737798$;03393$;Z·kladnÌ ökola a Mate¯sk· ökola$;0$;0$;22649$;6499$;N$;Mgr.Vobo¯il$;ROZVOZ + DODACÕ LIST$;Fialov· Jana$;78037$;00472$;dr$;0$;R$; 
00099$;737798$;02970$;MIJA-PRACOVNÕ ODÃVY s.r.o.       MB$;0$;0$;6090$;876$;N$;Kauck·$;ROZVOZ + DODACÕ LIST$;HvÏzdov· ä·rka$;78044$;00926$;MIJ$;0$;R$; 
00100$;737798$;01042$;EFTEC /Czech Republic/ a.s.$;0$;0$;8368$;2427$;N$;DaÚkov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;78052$;00472$;dr$;0$;R$; 
00101$;737801$;00904$;Z·kladnÌ ökola a Mate¯sk· ökola$;0$;0$;9380$;2518$;N$;Peckov·, Kotrouöov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;78061$;00472$;dr$;0$;R$; 
00102$;737801$;01909$;Frydlanske strojirny Rasl a Syn a.s$;0$;0$;685$;242$;N$;Bajan$;VLASTNÕ ODVOZ DNES DOPOLEDNE$;Chocholouökov· Ivana$;78068$;00472$;dr$;0$; $; 
00103$;737801$;03035$;Z·kladnÌ ökola,Z·kladnÌ umÏleck·$;0$;0$;4655$;1387$;N$;Michaela Fiedlerov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;77958$;00472$;dr$;0$;R$; 
00104$;737801$;02117$;OSAPO, s.r.o.$;0$;0$;4466$;623$;N$;Drbohlav$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$;210040$;00932$; $;0$; $; 
00105$;737801$;00732$;ACL Anodizing s.r.o.$;0$;0$;454$;123$;N$;Ho¯enÌ$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;77816$;00472$;dr$;0$;R$; 
00106$;737802$;03256$;Blyth s.r.o.  D$;0$;0$;9010$;1753$;N$;ätÏp·n Srb$;VLASTNÕ ODVOZ dnes,balit zvl·öù!!!$;Chocholouökov· Ivana$;180/2021$;00922$;bld$;0$; $; 
00107$;737802$;08008$;Model·rna LIAZ spol.s r.o.$;0$;0$;6019$;2648$;A$;Ji¯Ì Matouö$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;78102$;00927$; $;0$;R$; 
00108$;737802$;02568$;TRAFICON TOBACCO RETAIL s.r.o.$;0$;0$;4811$;1338$;N$;Hajlekov·$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78124$;00472$;dr$;0$;R$; 
00109$;737802$;02970$;MIJA-PRACOVNÕ ODÃVY s.r.o.       MB$;0$;0$;3832$;1195$;N$;Kauck·$;ROZVOZ + DODACÕ LIST$;Fialov· Jana$;tel.$;00926$;MIJ$;0$;R$; 
00110$;737803$;08008$;Model·rna LIAZ spol.s r.o.$;0$;0$;7421$;2816$;A$;Ji¯Ì Matouö$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78138$;00927$; $;0$;R$; 
00111$;737803$;01909$;Frydlanske strojirny Rasl a Syn a.s$;0$;0$;3265$;1392$;N$;Bajan$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;78159$;00472$;dr$;0$;R$; 
00112$;737803$;00372$;BMTO GROUP a.s.$;0$;0$;2992$;900$;N$;BartoÚ, Buöek$;VLASTNÕ ODVOZ$;Chocholouökov· Ivana$;os$;00472$;dr$;0$; $; 
00113$;737803$;02920$;MIJA-PRACOVNÕ ODÃVY s.r.o.       MH$;0$;0$;6614$;1047$;N$;MatÏjkov·$;ROZVOZ + DODACÕ LIST$;Fialov· Jana$;78165$;00926$;MIJ$;0$;R$; 
00114$;737803$;03393$;Z·kladnÌ ökola a Mate¯sk· ökola$;0$;0$;713$;205$;N$;Mgr.Vobo¯il$;ROZVOZ + DODACÕ LIST$;HvÏzdov· ä·rka$;78037$;00472$;dr$;0$;R$; 
00115$;737804$;01909$;Frydlanske strojirny Rasl a Syn a.s$;0$;0$;2515$;825$;N$;Bajan$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;tel.$;00472$;dr$;0$;R$; 
00116$;737804$;03256$;Blyth s.r.o.  D$;0$;0$;98$;19$;N$;ätÏp·n Srb$;VLASTNÕ ODVOZ //dnes a balit zvl·öt$;éateËkov· MarkÈta$;256/2021$;00922$;bld$;0$; $; 
00117$;737804$;03025$;Z·kladnÌ ökola a Mate¯sk· ökola$;0$;0$;7786$;2150$;N$;Pa¯Ìkov·,Volöt·tov·$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78177$;00472$;dr$;0$;R$; 
00118$;737804$;02117$;OSAPO, s.r.o.$;0$;0$;54720$;10080$;N$;Drbohlav$;VLASTNÕ ODVOZ //  na cestÏ$;HvÏzdov· ä·rka$; $;00932$; $;0$; $; 
00119$;737804$;03256$;Blyth s.r.o.  D$;0$;0$;1414$;226$;N$;ätÏp·n Srb$;VLASTNÕ ODVOZ$;Fialov· Jana$;OV-180/2021$;00922$;bld$;0$; $; 
00120$;737804$;00113$;DopravnÌ podnik mÏst Liberce a$;0$;0$;3148$;737$;N$;Tomis,B¯inËil$;VLASTNÕ ODVOZ  v pondÏlÌ r·no$;Fialov· Jana$;78194$;00925$;DPL$;0$; $; 
00121$;737804$;07613$;WIEDEN s.r.o.$;0$;0$;10618$;2926$;N$;BulÌ¯ov·$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78203$;00472$;dr$;0$;R$; 
00122$;737805$;02970$;MIJA-PRACOVNÕ ODÃVY s.r.o.       MB$;0$;0$;8346$;1426$;N$;Kauck·$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78211$;00926$;MIJ$;0$;R$; 
00123$;737805$;02781$;Z·kladnÌ ökola a Mate¯sk· ökola$;0$;0$;7688$;2314$;N$;Boöek$;ROZVOZ + DODACÕ LIST$;HvÏzdov· ä·rka$;tel$;00933$; $;0$;R$; 
00124$;737805$;02117$;OSAPO, s.r.o.$;0$;0$;4531$;848$;N$;Drbohlav$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$;210076$;00932$; $;0$; $; 
