.pl 16959
CisloDodavatele;NazevDodavatele;NazevDodavatele2;Ulice;Mesto;Psc;Ico;Dic1;Dic2;Zastoupeny;ZastoupenyOZ;Telefon;TelefonOz;Mail;MailOZ;Poznamka1;Poznamka2;Poznamka3;Poznamka4;Poznamka5;DatumPorizeni;PocetDnuObj;ZavozDen
00037$;CeDo Household Products s.r.o.$; $;Zborovska 3/1222$;Praha 5$;15000$;60201410$;CZ$;60201410$; $; $;2/57326943,57323966$;2 57324306$;cedo@cedo-praque.cz$; $;ps·t na objedn·vky objednacÌ ËÌsla CeDo z cenÌku!!!$;p.Mrazek-let·k$;obj.nad 10.000 bez DPH doprava zdarma,jinak uËtujÌ doprav-$;nÈ nebo poötovnÈ!!$;602 451 280 Mr·zek$;0$;0$; 
00038$;TATRACHEMA CZ spol.s.r.o.$;HodonÌn$;BrnÏnsk· 48$;HodonÌn$;69501$;60733713$;CZ$;60733713$;Zivn·$; $;518 624518$;603 839 893$;zivna.anna@email.cz$;zivna.anna@email.cz$;0-11%$; $;fakturace@tatrachema.cz OZ 603 839 893$;604 201 747 GSM$;öÈfov· p.Maty·öov· 603839890,$;730486$;3$;dle pot¯eby
00039$;Drutep, druûstvo$; $;äkolnÌ 22$;Teplice$;41583$;00029238$;CZ$;00029238$;Viktorinova$; $;417/534007,$;417 534 009$;copak$; $;{0-5% za platbu v hotovosti} DRUTEP - SLIBILI -8% FATURA$; $; $; $; $;0$;0$; 
00040$;ValdimÌr Boreö-*Viaco$; $;Dr.M.Hor·kovÈ 531$;liberec 6$;46006$;11435259$;CZ$;5804021091$; $; $;485 110 088$; $; $; $; $; $; $; $; $;0$;0$; 
00041$;Dubrava ValaöskÈ Klobouky$; $;H¯bitovnÌ 97$;ValaöskÈ Klobouky$;76633$;00030279$;CZ$;00030279$;FriËkov·$; $;577/320641-3$;577/320 579$;fakturace@dubrava.cz$; $;Nap¯Ìmo 0-10%    öef Zubek 602 716 738$; $; $; $; $;730486$;4$;dle pot¯eby
00042$;Nulicek Jiri ing. Praha$;ARKO TRADE$;PapÌrensk· 1$;Praha 6$;16000$;12493198$;CZ$;500618099$;Nulicek$; $;02/20303421 i fax$; $; $; $;ZBOZI NEOBJEDNAVAT$; $;rabat 16%-20%$; $; $;0$;0$; 
00043$;Agro bÌl·, a.s.$; $;BÌl· 33$;»esk˝ Dub$;46343$;25937154$;CZ$;25937154$;Bartos$; $;733 539 778$; $; $; $;PanÌ Honzejkov·$; $; $; $; $;0$;0$; 
00044$;Arcon Liberec$;Ing. Miloslav Jisa$;Na piskovne 662$;Liberec 14$;46014$;46030638$;CZ$;260227093$;Jisa Jan,Jandov· H.$; $;485 108 673$;485 108 673$;jisa.jan@tiscali.cz$; $;!!!OBJEDN¡VAT MAILEM!!$;od 1.12.2009 dohoda za p¯efakturaci 7.52%$;Jisa 777 848 025$;Janda 777 648 025$; $;0$;0$; 
00045$;Repap s.r.o. Decin$; $;Vitezstvi 173$;Decin$;40711$;61535249$;CZ$;61535249$;Kasperek$; $;0412/26111-2 kl17$; $; $; $; $;0412/548186$; $; $; $;0$;0$; 
00046$;Metsa Tissue a.s.$;P.O.BOX B-71$;CelulÛzka 3494$;éilina$;01161$;36381306$;SK$;2020097596$; $; $; $;00421 415 121 475$;silvie.lehotanova@metsagroup.com$; $;z·voz 5palet$; $;Oz Lehoùanov· 724 459 778$;rok 2010 657000.-  2009 595000.-$;dalöÌ e.mail > S.Lehotanova@seznam.cz$;0$;4$;dle pot¯eby
00047$;H + S Obchodni spol s r.o.$; $;Po Box 101$;Beroun$;26601$; $; $; $;Novakova,Knez$; $;0311/23342,22792$; $; $; $;pasty levne$; $; $; $; $;0$;0$; 
00048$;Solira Company s.r.o.$;Valtech tors$;DubÚany 1648$;DubÚany$;69603$;28222822$;CZ$;28222822$;N·pravnÌk$; $;518 366 483 expedice$;777 771 141$;napravnik@solira.cz$;napravnik@solira.cz$;z·stup OZ j.Ëechy F·bera fabera@solira.cz    777 771 142$;H·jov· 43,B¯eclav-faktury-adresa  ÿeh·k ¯ed.konec 10/2020$;od 1.10.09 milit 0-20%   BL JanËa¯Ìkov· 777 771 157$;Divize PRO 0-25%$;Objednat t˝den p¯edem se musÌ$;730486$;14$;st¯eda
00049$;PapÌrna Perötejn, s.r.o.$;Keseg&Rathousk˝,v˝r.filtr.papÌ$;HlavnÌ 20$;Perötejn$;43163$;47283149$;CZ$;47283149$;Keseg, Rathousk˝$; $;474 394189$;474 394 189$;Perstejn.papÌrna@o2active.cz$; $;Objedn·vky posÌlat faxem !!!!!!!$; $; $; $; $;0$;0$; 
00050$;Moment Konrad Liberec$; $;Milady Hor·kovÈ$;Liberec$;46001$;16398238$;CZ$;6602170245$;Konrad Dusan$; $;Kladivo 0602/457820$; $; $; $;Konrad-0608/411150 RUK.AZBEST ANVAKO 485411 CONTACvizMARAD$;485146925 fax5146924 CENY OSAPO -3$;Ceny vzdy nejlepsi-ps·t na objedn·vku!!Konr.pevn·2811011$; $; $;0$;0$; 
00051$;S - Uno Rakovnik Linhart$; $;Ottova 312$;Rakovnik$;26901$;10201068$;CZ$;5508262562$;Linhart$; $;313/513533$;313 513533$; $; $;p.Stejskalova mobil 602/311316                      SHODA$;p.Zerta 603/852967$; $; $; $;0$;0$; 
00052$;DIMATEX CS spol. s.r.o.$; $;Star· ul. Ë. 24$;Str·û nad Nisou$;46303$;43224245$;CZ$;43224845$; $; $;485 159 125$;482 739 939$;objednavky@dimatex.cz$; $;2013 nov˝ öÈf Killar$;hadr bÌl˝ trikot 24.00$;hadr bÌl˝ druh· volba 20.00$; $;Pozor majÌ pouze od 6 - 14h !!!!!!!!!!!!!!!!!!!!!!!!!!!$;0$;0$; 
00053$;Lisovny plastu s.r.o.$; $;Horanska 2$;Velke Mezirici$;59430$;43378331$;CZ$;43378331$; $; $; $;312 666 423$;a$; $;Paluska 312 666 422 ,777 797 256 Strejcek 234 123 445$;ZboûÌ objedn·vat na Ë. 312666423   Tercius!$;posÌlat faxem jsou to debilovÈ !!!!!!!!!!$;Dvo¯·Ëek Michal -Akce 777 797 240$; $;0$;0$; 
00054$;Hartmann Rico a.s.Veverska Bit$; $; $;Veverska Bityska$;66471$;4494429$; $; $;Karaskova Harmann$; $;549456136-8$;549423445$;lenka.kalousova@hartmann.info$; $;OZ Kalousov· 724 671 070$;P¯es JASMIN Brno 0-7%$;min.za 5500.-$; $; $;0$;0$; 
00055$;* Obaly$; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $;0$;0$; 
00056$;Alfa ing. Siroka Letovice$; $;U koupaliötÏ 6$;Letovice$;67961$;40410536$;CZ$;425516434$;Siroka$; $;0501/476028$; $; $; $; $; $; $; $; $;0$;0$; 
00057$;Gumotex a.s. Breclav$; $;Mladeznicka 15$;Breclav$;69075$; $; $; $;Kolarikova$; $;0627/724111,724116$; $; $; $; $; $; $; $; $;0$;0$; 
00058$;FROLEN, LINEX - EXPORT,s.r.o.$; $;Starkov$;Starkov$;54936$;45539944$;CZ$;45539944$;p.ÿÌha sklad$; $;491 480 011$; $;frolen@frolen.cz$; $;fax 491/480025,www.frolen.cz,$;faxovat obj.491/480025    osuöky skladem,prost.objednajÌ$;!!! Upozornit aby neposÌlali v plechovÈ bednÏ !!!$; $; $;0$;0$; 
00059$;Eurowax s.r.o. Praha$; $;Novodvorska 1010/14$;Praha 4$;14200$; $; $; $; $; $; $; $; $; $; $; $; $; $; $;0$;0$; 
00060$;Milo a.s. Olomouc$; $;Santova 14$;Olomouc$;77159$;45192421$;CZ$;45192421$;Vajdova$; $;068/5623242$; $; $; $; $; $; $; $; $;0$;0$; 
00061$;Slupor ing. Vimr$; $;Lukova 107$;Damnikov$;56123$;42917654$;CZ$;511010003$;Vimr$; $;0467/94236$; $; $; $;proti klistatum$; $; $; $; $;0$;0$; 
00062$;Podripska obchodni spol.$; $;Vitkovska 136$;Chrastava$;46331$;44564511$;CZ$;44564511$;Pivoda$; $;932651$; $; $; $; $; $; $; $; $;0$;0$; 
00063$;Mironet$; $; $;Praha$;14800$;28189647$;CZ$;28189647$; $; $; $; $; $; $; $; $; $; $; $;0$;0$; 
00064$;Strnad Josef s.r.o. Solnice$; $;vyroba usni$;Solnice$;51701$;42883911$;CZ$;42883911$;Strnad$; $;494/590268,590076$;494/590311$;josef.strnad@kozeluzna.cz$; $; $; $; $; $; $;0$;0$; 
00066$;Alpa s.r.o. Velke Mezirici$; $;Hornometska 378$;Velke Mezirici$;59425$;49448480$;CZ$;49448480$; $; $; $; $;francu.irena@seznam.cz$; $; $; $; $; $;p¯es barvy, ps·t ceny$;0$;3$;dle pot¯eby
00067$;Lyckeby Amylex, a.s.$; $;Strakonicka 946$;Horazdovice$;34100$;49790340$;CZ$;49790340$; $; $;376 512419$; $; $; $;Pozor p¯i n·kupu zjistit 9% nebo 19% DPH .$; $; $; $;do ceny jiû rozpuötÏn· doprava-cena aktualizovan· 21.1.11$;0$;0$; 
00068$;Styl, druzstvo pro chemic.vyrobu$;pat¯Ì pod Druchemu$;ul.Pr·ce 185$;Neratovice$;27711$;00028134$;CZ$;00028134$;Konieczny$; $;315 577 656, 655$; $;objednavky@stylvd.cz$;konieczny@druchema.cz$;reklamace trpisovska@stylvd.cz,OZ Konieczny 602 682 911$; $;sleva 12%$; $;Spojeno s Druchemou, jiû vöe vy¯izovat s nimi$;730486$;0$; 
00069$;Raczkowski s.r.o. Praha$; $;Lhotecka ul,$;Praha 4$;14300$;45311374$;CZ$;45311374$; $; $;02/4024647$; $; $; $;beru pres Maly Ditributorska sleva-15% nad 30tis$;Maly 0326/980152$; $; $; $;0$;0$; 
00070$;PapÌrna Moudr˝, s.r.o.$; $;N·draûnÌ 56$;éidlochovice$;66701$;25317164$;CZ$;25317164$;Musilov·$; $;547 238 725,$;547 231 064$; $; $;postovne rozpocitat do ceny$;www.moudry-cz.com$; $; $; $;0$;0$; 
00071$;Bohemiachem s.r.o. Decin$; $;Tovarni 63$;Decin$;40711$;46712232$;CZ$;46712232$;Maly Ledce$; $; $; $; $; $; $; $; $; $; $;0$;0$; 
00072$;Johnson SC s.r.o.$; $;Radlick· 519/16$;Praha 5$;15000$;60199075$; $; $; $; $;225 557 503$;5/45244376$;sfiserov@scj.com$; $;SC Jonson PHA 225 557 503-StahlÌkov· ,NC:0.936-5.31%$;JasmÌn m· slevu 6.35%,Pema 5.31%      p¯es Primagru 6%$;2004-1100000.-,723065192-p.Marek   mstahlik@scj.com$;öÈf Slischka  725 089 758 - HTTP://doc.scj.cz =bezp.l$;Min.objedn.25000KË !!!!!! OZ Fiöerov· 724 607 416$;730486$;0$; 
00073$;PC Kontakt Liberec$; $;Vrchlickeho 1005/57$;Liberec 14$;46014$; $; $; $; $; $;5122072$; $; $; $; $; $; $; $; $;0$;0$; 
00074$;Imesta s.r.o. Bela p.B.$; $;Masarykovo nam .89$;Bela pod Bezdezem$;29421$;42714851$;CZ$;42714851$; $; $; $; $; $; $; $; $; $; $; $;0$;0$; 
00075$;Kart·Ëovna KoloveË,spo. s r.o.$; $;Domaûlick· 145$;KoloveË$;34543$;45359571$;CZ$;45359571$; $; $;379 420 331$; $;trade@kartacovnakolovec.cz$; $;Rohoûky,toËen˝,v·leËky,tÏsnÌcÌ liöty, vöe atip!!!!!!!!!!!!$; $; $; $; $;0$;0$; 
00076$;KleO s.r.o. Lanskroun$; $;Purkynova 109$;Lanskroun$;56301$;47455781$;CZ$;47455781$; $; $;0467/6297,6709$; $; $; $; $; $; $; $; $;0$;0$; 
00077$;Miroslav M·lek, mmilenium$; $;Zelene udoli 1024$;Liberec 6$;46006$;44587104$;CZ$;6802182277$;Miroslav M·lek$; $;602286940$; $;mm@mmilenium.cz$; $;485135337$;p¯efakturace NP +5%$; $; $; $;0$;0$; 
00078$;Vamtex s.r.o. Vamberk$; $;Na kameni 146$;Vamberk$;51754$;45536139$;CZ$;45536139$;p.Martin Kon·rek$; $;702 182 691$; $;konarek@profivamtex.cz$; $; $; $; $; $;702 182 691$;0$;0$; 
00079$;KART¡»OVNY spol. s r.o.$; $;»ervena Voda Ëp 358$;»erven· Voda$;56161$;15030211$;CZ$;15030211$; $; $;465 626 331$; $;expedice@kartacovny.cz$; $;p.Hosak 465 626 159             p.äaöek zak·zkov· v˝roba$;FAX 465/626431,$;Sleva 0-20%$;602 482 271-expedice$;min.obj 5000$;0$;21$;r˘znÈ
00080$;HLUBNA chemickÈ v˝robnÌ$;druûstvo v BrnÏ$;Z·brdovick· 10$;Brno$;65829$;00030244$;Cz$;00030244$;ämÌdov·$; $;545 425 166$;736 484 744$;obchod@hlubna.cz,jana.jagosova@hlubna.cz$;jana.jagosova@hlubna.cz$;doruËenÌ trv· delöÌ dobu$;sleva -20%$; $;sklad 545 425 134$;objedn·vka nad 10000$;730486$;0$;r˘zne, dle nich
00081$;CL-DENT$; $;Pivovarsk· 1485$;»esk· LÌpa$; $; $; $; $; $; $; $; $;Cl-dent@seznam.cz$; $; $; $; $;Ecolab Into wc - osobnÌ odbÏr$; $;0$;0$; 
00082$;KART, s.r.o.$;PRAHA 3,V Zahr·dk·ch 57$;z·vod Verne¯ice$;Verne¯ice u DÏËÌna$;40725$;45801622$;CZ$;45801622$;Dusovska$; $;412 559 006$;412/559069$;j.kucerova@kartace.cz$; $;559163  559483 odbyt{0648/440073 p.SmrËina Kart.PÌsa¯ov$;sleva 18% + poötovne nebo 16% vËetnÏ dopravnÈho.$;ing.Prskavcova$; $; $;0$;4$;dle pot¯eby
00083$;Semat s.r.o. Havlickuv Brod$; $; $;HavlÌËk˘v Brod$; $; $; $; $; $; $;0437/5073$; $; $; $; $; $; $; $; $;0$;0$; 
00084$;BOTACOFFEE s.r.o.$; $; $;Brno$;62300$;02768721$;CZ$;02768721$; $; $; $; $; $; $;internetov˝ obchod$; $; $; $; $;737777$;0$; 
00085$;Datart$; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $;0$;0$; 
00086$;ZVG$; $; $; $; $; $;CZ$; $;BÏlina$; $;725421427$; $;kbelina@seznam.cz$; $; $; $; $; $; $;0$;0$; 
00087$;Eastmop spol.s r.o.$; $;»·nka 52$;OpoËno$;51773$; $; $; $;Hysek majitel$; $;494 667 617$;777 821 170$;info@eastmop.cz$;david.hysek@tiscali.cz$; $; $; $;majitel Hysek$;pokaûdÈ ˙Ëtuje dopravnÈ 500.-//rozpouötÌ se$;737571$;2$;dle pot¯eby
00089$;Medivet International s.r.o.$; $; $;Praha$; $; $; $; $; $; $;274 822 158$; $; $; $; $; $; $; $; $;730486$;0$; 
00090$;Dajana s.r.o. Bohunovice$; $;Pod mlekarnou 608$;Bohunovice$;78314$;43962831$;CZ$;43962831$;Matonova$; $;068/916367$; $; $; $; $; $; $; $; $;0$;0$; 
00091$;Varta CS s.r.o. Praha$; $;Chodovska 7$;Praha 4$;14100$; $; $; $;Hajek Tomas$; $;02/769328-31 F769333$; $; $; $;baterka E687 2*40V 814*691*455 dohoda -6% a -2% hotovost$; $; $; $; $;0$;0$; 
